UrlCustomParameters,CustomParameters
AbsoluteTopImpressionPercentage,Double
AccountCurrencyCode,String
AccountDescriptiveName,String
AccountTimeZone,String
ActiveViewCpm,Money
ActiveViewCtr,Double
ActiveViewImpressions,Long
ActiveViewMeasurability,Double
ActiveViewMeasurableCost,Money
ActiveViewMeasurableImpressions,Long
ActiveViewViewability,Double
AdGroupDesktopBidModifier,Double
AdGroupId,Long
AdGroupMobileBidModifier,Double
AdGroupName,String
AdGroupStatus,AdGroupStatus
AdGroupTabletBidModifier,Double
AdGroupType,AdGroupType
AdNetworkType1,AdNetworkType1
AdNetworkType2,AdNetworkType2
AdRotationMode,AdRotationMode
AllConversionRate,Double
AllConversions,Double
AllConversionValue,Double
AverageCost,Money
AverageCpc,Money
AverageCpe,Double
AverageCpm,Money
AverageCpv,Double
AveragePageviews,Double
AveragePosition,Double
AverageTimeOnSite,Double
BaseAdGroupId,Long
BaseCampaignId,Long
BiddingStrategyId,Long
BiddingStrategyName,String
BiddingStrategySource,BiddingStrategySource
BiddingStrategyType,BiddingStrategyType
BounceRate,Double
CampaignId,Long
CampaignName,String
CampaignStatus,CampaignStatus
ClickAssistedConversions,Long
ClickAssistedConversionsOverLastClickConversions,Double
ClickAssistedConversionValue,Double
Clicks,Long
ClickType,ClickType
ContentBidCriterionTypeGroup,CriterionTypeGroup
ContentImpressionShare,Double
ContentRankLostImpressionShare,Double
ConversionAdjustment,Enum
ConversionAdjustmentLagBucket,ConversionAdjustmentLagBucket
ConversionCategoryName,String
ConversionLagBucket,ConversionLagBucket
ConversionRate,Double
Conversions,Double
ConversionTrackerId,Long
ConversionTypeName,String
ConversionValue,Double
Cost,Money
CostPerAllConversion,Money
CostPerConversion,Money
CostPerCurrentModelAttributedConversion,Double
CpcBid,Money
CpmBid,Money
CpvBid,Money
CrossDeviceConversions,Double
Ctr,Double
CurrentModelAttributedConversions,Double
CurrentModelAttributedConversionValue,Double
CustomerDescriptiveName,String
Date,Date
DayOfWeek,DayOfWeek
Device,DeviceType
EffectiveTargetRoas,Double
EffectiveTargetRoasSource,BiddingSource
EngagementRate,Double
Engagements,Long
EnhancedCpcEnabled,Enum
ExternalConversionSource,ExternalConversionSource
ExternalCustomerId,Long
FinalUrlSuffix,String
GmailForwards,Long
GmailSaves,Long
GmailSecondaryClicks,Long
HourOfDay,Integer
ImpressionAssistedConversions,Long
ImpressionAssistedConversionsOverLastClickConversions,Double
ImpressionAssistedConversionValue,Double
Impressions,Long
InteractionRate,Double
Interactions,Long
InteractionTypes,EnumSet
LabelIds,List
Labels,List
Month,String
MonthOfYear,MonthOfYear
NumOfflineImpressions,Long
NumOfflineInteractions,Long
OfflineInteractionRate,Double
PercentNewVisitors,Double
Quarter,String
RelativeCtr,Double
SearchAbsoluteTopImpressionShare,Double
SearchBudgetLostAbsoluteTopImpressionShare,Double
SearchBudgetLostTopImpressionShare,Double
SearchExactMatchImpressionShare,Double
SearchImpressionShare,Double
SearchRankLostAbsoluteTopImpressionShare,Double
SearchRankLostImpressionShare,Double
SearchRankLostTopImpressionShare,Double
SearchTopImpressionShare,Double
Slot,Slot
TargetCpa,Money
TargetCpaBidSource,BidSource
TopImpressionPercentage,Double
TrackingUrlTemplate,String
ValuePerAllConversion,Double
ValuePerConversion,Double
ValuePerCurrentModelAttributedConversion,Double
VideoQuartile100Rate,Double
VideoQuartile25Rate,Double
VideoQuartile50Rate,Double
VideoQuartile75Rate,Double
VideoViewRate,Double
VideoViews,Long
ViewThroughConversions,Long
Week,String
Year,Integer
