Max. CPC,Campaign,Ad group,Match type,First page CPC,Top of page CPC,First position CPC,Keyword,Labels,Customer ID,Campaign ID,Ad group ID,Keyword ID,Quality score,Qual. score (hist.),Expected clickthrough rate,Expected clickthrough rate (hist.),Landing page experience,Landing page experience (hist.),Ad relevance,Ad relevance (hist.),Clicks,Impressions,Cost,CTR,Avg. CPC,Avg. position,Impr. (Top) %,Impr. (Abs. Top) %,Conversions,All conv.,All conv. value,All conv. rate,Total conv. value,View-through conv.,Conv. rate,Value / conv.,Cost / all conv.,Cost / conv.,Click Assisted Conv.,Impr. Assisted Conv.,Search Exact match IS,Search Impr. share,Search Lost IS (rank),Search abs. top IS,Search top IS,Search lost top IS (rank),Search lost abs. top IS (rank)
auto: 1000000,XYZ,Ad group 2,Broad,0,0, --,can't, --,7555559366,2030405009,72728417180,12729800, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
auto: 1000000,XYZ,Ad group 2,Broad,0,0, --,what, --,7555559366,2030405009,72728417180,10544921, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
1000000,my1,topic1,Broad,0,0, --,samad1, --,7555559366,2066261994,76124880406,808169739276, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
1000000,my2,mygroup999,Broad,0,0, --,samadkeyword, --,7555559366,2066331079,76599524136,787189582490, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
auto: 20000000,Sales-Search-1,Ad group 1,Broad,0,0, --,jkl, --,7555559366,2030792152,71420163106,77973001, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
auto: 1000000,Sales-Search-1,Earth to Venus Cruises #f0b1422c-ec4a-4c45-b98c-ff5a7a5275c8,Broad,0,0, --,noob, --,7555559366,2030792152,70054921377,149208425, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
1000000,my1,samadgroup,Broad,0,0, --,hotkeyword1, --,7555559366,2066261994,75822879265,794076201261, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
1000000,my1,samadgroup,Broad,0,0, --,samadkeyword1, --,7555559366,2066261994,75822879265,788729116315, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
1000000,my1,mygroup2,Broad,0,0, --,xkeyword, --,7555559366,2066261994,77744103553,787348622839, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
1000000,my1,samadgroup,Broad,0,0, --,ukhano, --,7555559366,2066261994,75822879265,427874039916, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
1000000,my1,samadgroup,Broad,0,0, --,usmankeyword999, --,7555559366,2066261994,75822879265,785801063950, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
1000000,my1,samadgroup,Broad,0,0, --,samadkeyword999, --,7555559366,2066261994,75822879265,786895269309, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
1000000,Usman,usman-group,Broad,0,0, --,mars-2, --,7555559366,2040034746,75940916601,962721518792, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
1000000,Usman,usman-group,Exact,0,0, --,pluto-1, --,7555559366,2040034746,75940916601,962721518832, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
auto: 1000000,XYZ,Ad group 2,Broad,0,0, --,you, --,7555559366,2030405009,72728417180,10319321, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
1000000,my2,mygroup999,Broad,0,0, --,usmankeyword9999, --,7555559366,2066331079,76599524136,786210510373, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
auto: 1000000,XYZ,Ad group 2,Broad,0,0, --,do, --,7555559366,2030405009,72728417180,10272121, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
auto: 1000000,XYZ,Ad group 2,Broad,0,0, --,mean, --,7555559366,2030405009,72728417180,12753476, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
1000000,my2,mygroup999,Broad,0,0, --,samadkeyword1, --,7555559366,2066331079,76599524136,788729116315, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
1000000,XYZ Test,XYZ Test- Group,Broad,0,0, --,XYZ-Test-Group-Keyword-123, --,7555559366,2041050452,72454092856,770144723926, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
1000000,my1,mygroup2,Broad,0,0, --,zkeyword, --,7555559366,2066261994,77744103553,788325405090, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
